runid,recall,precision,f-score
10_ROUGE-1,0.08865,0.06394,0.07429
11_ROUGE-1,0.06379,0.08854,0.07415
12_ROUGE-1,0.06419,0.05821,0.06105
13_ROUGE-1,0.13034,0.04913,0.07136
14_ROUGE-1,0.06958,0.05691,0.06261
15_ROUGE-1,0.11903,0.04009,0.05998
16_ROUGE-1,0.09141,0.05075,0.06527
17_ROUGE-1,0.08431,0.03695,0.05138
18_ROUGE-1,0.07405,0.07621,0.07511
19_ROUGE-1,0.08326,0.04827,0.06111
1_ROUGE-1,0.12127,0.0483,0.06908
20_ROUGE-1,0.0776,0.05151,0.06192
21_ROUGE-1,0.09628,0.09187,0.09402
22_ROUGE-1,0.09457,0.04813,0.06379
23_ROUGE-1,0.08365,0.05358,0.06532
24_ROUGE-1,0.0705,0.03628,0.04791
25_ROUGE-1,0.09957,0.04,0.05707
26_ROUGE-1,0.0751,0.06088,0.06725
27_ROUGE-1,0.10154,0.05536,0.07165
28_ROUGE-1,0.06524,0.05802,0.06142
29_ROUGE-1,0.04419,0.03969,0.04182
2_ROUGE-1,0.08773,0.0543,0.06708
30_ROUGE-1,0.06682,0.05667,0.06133
31_ROUGE-1,0.04761,0.07035,0.05679
32_ROUGE-1,0.07747,0.04275,0.0551
33_ROUGE-1,0.06655,0.07172,0.06904
34_ROUGE-1,0.08115,0.04735,0.0598
35_ROUGE-1,0.10601,0.05058,0.06848
36_ROUGE-1,0.06918,0.04913,0.05746
37_ROUGE-1,0.08234,0.03928,0.05319
38_ROUGE-1,0.06116,0.0644,0.06274
39_ROUGE-1,0.07431,0.06609,0.06996
3_ROUGE-1,0.07024,0.05274,0.06024
40_ROUGE-1,0.11916,0.05351,0.07385
41_ROUGE-1,0.12127,0.05909,0.07946
42_ROUGE-1,0.08812,0.05208,0.06547
43_ROUGE-1,0.07155,0.06302,0.06701
44_ROUGE-1,0.06234,0.05545,0.05869
45_ROUGE-1,0.05156,0.09446,0.06671
46_ROUGE-1,0.0826,0.039,0.05298
47_ROUGE-1,0.0847,0.06109,0.07098
48_ROUGE-1,0.06511,0.0568,0.06067
49_ROUGE-1,0.0851,0.03803,0.05257
4_ROUGE-1,0.09601,0.05711,0.07162
50_ROUGE-1,0.09444,0.04626,0.0621
51_ROUGE-1,0.07458,0.05839,0.0655
52_ROUGE-1,0.07405,0.057,0.06442
53_ROUGE-1,0.09786,0.05368,0.06933
54_ROUGE-1,0.10417,0.06361,0.07899
55_ROUGE-1,0.08299,0.06911,0.07542
56_ROUGE-1,0.0484,0.03437,0.0402
57_ROUGE-1,0.08142,0.04387,0.05702
58_ROUGE-1,0.09733,0.04286,0.05951
59_ROUGE-1,0.05248,0.06009,0.05603
5_ROUGE-1,0.10062,0.04655,0.06365
60_ROUGE-1,0.10798,0.05819,0.07563
61_ROUGE-1,0.07326,0.05412,0.06225
62_ROUGE-1,0.05537,0.02932,0.03834
63_ROUGE-1,0.07681,0.04115,0.05359
64_ROUGE-1,0.08063,0.0717,0.0759
65_ROUGE-1,0.04735,0.05942,0.0527
66_ROUGE-1,0.08023,0.05787,0.06724
67_ROUGE-1,0.09996,0.06064,0.07549
68_ROUGE-1,0.07155,0.06973,0.07063
69_ROUGE-1,0.06537,0.07214,0.06859
6_ROUGE-1,0.06839,0.07285,0.07055
70_ROUGE-1,0.04761,0.04154,0.04437
71_ROUGE-1,0.03446,0.04209,0.03789
72_ROUGE-1,0.07523,0.05649,0.06453
73_ROUGE-1,0.07129,0.07682,0.07395
74_ROUGE-1,0.11403,0.05498,0.07419
75_ROUGE-1,0.09601,0.05711,0.07162
76_ROUGE-1,0.04446,0.03806,0.04101
77_ROUGE-1,0.06813,0.04334,0.05298
78_ROUGE-1,0.08996,0.05422,0.06766
79_ROUGE-1,0.068,0.06557,0.06676
7_ROUGE-1,0.09628,0.05478,0.06983
80_ROUGE-1,0.08812,0.03588,0.051
81_ROUGE-1,0.07155,0.05958,0.06502
82_ROUGE-1,0.04248,0.06277,0.05067
83_ROUGE-1,0.10272,0.04397,0.06158
8_ROUGE-1,0.07168,0.06501,0.06818
9_ROUGE-1,0.04498,0.03194,0.03735
