ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-3,190,LARGESUMM.TXT,0.37838,0.16766,0.23237,1
ROUGE-3,191,LARGESUMM.TXT,0.54088,0.49711,0.51807,1
ROUGE-3,192,LARGESUMM.TXT,0.89655,0.70909,0.79188,1
ROUGE-3,193,LARGESUMM.TXT,1.00000,0.58108,0.73504,1
ROUGE-3,150,LARGESUMM.TXT,1.00000,0.60194,0.75152,1
ROUGE-3,194,LARGESUMM.TXT,0.64234,0.70968,0.67433,1
ROUGE-3,151,LARGESUMM.TXT,0.77027,0.33333,0.46531,1
ROUGE-3,195,LARGESUMM.TXT,0.58824,0.26144,0.36199,1
ROUGE-3,196,LARGESUMM.TXT,0.84722,0.67033,0.74847,1
ROUGE-3,152,LARGESUMM.TXT,0.60784,0.53448,0.56881,1
ROUGE-3,153,LARGESUMM.TXT,0.13433,0.16514,0.14815,1
ROUGE-3,197,LARGESUMM.TXT,0.74074,0.68182,0.71006,1
ROUGE-3,154,LARGESUMM.TXT,1.00000,0.58654,0.73939,1
ROUGE-3,198,LARGESUMM.TXT,0.64773,0.53774,0.58763,1
ROUGE-3,199,LARGESUMM.TXT,0.26316,0.13514,0.17857,1
ROUGE-3,155,LARGESUMM.TXT,0.96970,0.53333,0.68817,1
ROUGE-3,156,LARGESUMM.TXT,0.47500,0.20106,0.28253,1
ROUGE-3,157,LARGESUMM.TXT,0.86111,0.69663,0.77019,1
ROUGE-3,159,LARGESUMM.TXT,0.80000,0.55172,0.65306,1
ROUGE-3,160,LARGESUMM.TXT,0.95146,0.50777,0.66216,1
ROUGE-3,161,LARGESUMM.TXT,0.88764,0.59848,0.71493,1
ROUGE-3,162,LARGESUMM.TXT,0.68681,0.61576,0.64935,1
ROUGE-3,163,LARGESUMM.TXT,0.76271,0.50562,0.60811,1
ROUGE-3,164,LARGESUMM.TXT,0.76190,0.62136,0.68449,1
ROUGE-3,121,LARGESUMM.TXT,0.84672,0.47541,0.60892,1
ROUGE-3,165,LARGESUMM.TXT,0.42105,0.18433,0.25641,1
ROUGE-3,166,LARGESUMM.TXT,0.32090,0.22632,0.26543,1
ROUGE-3,122,LARGESUMM.TXT,0.51095,0.46053,0.48443,1
ROUGE-3,200,LARGESUMM.TXT,0.00000,0.00000,0.00000,1
ROUGE-3,167,LARGESUMM.TXT,0.55307,0.63057,0.58929,1
ROUGE-3,124,LARGESUMM.TXT,0.56522,0.47794,0.51793,1
ROUGE-3,201,LARGESUMM.TXT,0.93878,0.51685,0.66667,1
ROUGE-3,168,LARGESUMM.TXT,0.78205,0.54464,0.64211,1
ROUGE-3,125,LARGESUMM.TXT,0.72951,0.50568,0.59732,1
ROUGE-3,202,LARGESUMM.TXT,0.59589,0.44615,0.51026,1
ROUGE-3,169,LARGESUMM.TXT,0.85333,0.62136,0.71910,1
ROUGE-3,126,LARGESUMM.TXT,0.55725,0.34928,0.42941,1
ROUGE-3,203,LARGESUMM.TXT,0.94161,0.74566,0.83226,1
ROUGE-3,204,LARGESUMM.TXT,0.77083,0.63248,0.69484,1
ROUGE-3,127,LARGESUMM.TXT,1.00000,0.53488,0.69697,1
ROUGE-3,205,LARGESUMM.TXT,0.64894,0.42069,0.51046,1
ROUGE-3,129,LARGESUMM.TXT,0.71141,0.64634,0.67732,1
ROUGE-3,206,LARGESUMM.TXT,0.96703,0.56410,0.71255,1
ROUGE-3,207,LARGESUMM.TXT,0.75000,0.63830,0.68966,1
ROUGE-3,208,LARGESUMM.TXT,1.00000,0.55952,0.71756,1
ROUGE-3,209,LARGESUMM.TXT,0.83333,0.40179,0.54217,1
ROUGE-3,171,LARGESUMM.TXT,0.84314,0.82692,0.83495,1
ROUGE-3,172,LARGESUMM.TXT,0.65385,0.59204,0.62141,1
ROUGE-3,173,LARGESUMM.TXT,0.49438,0.34375,0.40553,1
ROUGE-3,174,LARGESUMM.TXT,0.50588,0.32576,0.39631,1
ROUGE-3,131,LARGESUMM.TXT,0.82022,0.69524,0.75258,1
ROUGE-3,175,LARGESUMM.TXT,0.51145,0.33333,0.40361,1
ROUGE-3,132,LARGESUMM.TXT,1.00000,0.19118,0.32099,1
ROUGE-3,176,LARGESUMM.TXT,0.75472,0.41667,0.53691,1
ROUGE-3,177,LARGESUMM.TXT,0.78333,0.39167,0.52222,1
ROUGE-3,210,LARGESUMM.TXT,1.00000,0.13333,0.23529,1
ROUGE-3,133,LARGESUMM.TXT,0.79167,0.44882,0.57286,1
ROUGE-3,134,LARGESUMM.TXT,0.88462,0.73016,0.80000,1
ROUGE-3,212,LARGESUMM.TXT,0.70000,0.37931,0.49201,1
ROUGE-3,135,LARGESUMM.TXT,0.75309,0.58654,0.65946,1
ROUGE-3,137,LARGESUMM.TXT,0.79661,0.54864,0.64977,1
ROUGE-3,138,LARGESUMM.TXT,0.83929,0.40870,0.54971,1
ROUGE-3,139,LARGESUMM.TXT,0.90678,0.38909,0.54453,1
ROUGE-3,180,LARGESUMM.TXT,0.28358,0.28358,0.28358,1
ROUGE-3,181,LARGESUMM.TXT,0.93671,0.44578,0.60408,1
ROUGE-3,182,LARGESUMM.TXT,0.86792,0.54118,0.66667,1
ROUGE-3,183,LARGESUMM.TXT,0.35802,0.22656,0.27751,1
ROUGE-3,140,LARGESUMM.TXT,0.84615,0.37931,0.52381,1
ROUGE-3,184,LARGESUMM.TXT,0.20833,0.06329,0.09709,1
ROUGE-3,185,LARGESUMM.TXT,0.92920,0.52500,0.67093,1
ROUGE-3,141,LARGESUMM.TXT,0.88172,0.38863,0.53947,1
ROUGE-3,142,LARGESUMM.TXT,0.94118,0.65979,0.77576,1
ROUGE-3,186,LARGESUMM.TXT,0.66346,0.32093,0.43260,1
ROUGE-3,143,LARGESUMM.TXT,0.50000,0.23871,0.32314,1
ROUGE-3,187,LARGESUMM.TXT,0.88095,0.42045,0.56923,1
ROUGE-3,188,LARGESUMM.TXT,0.89565,0.57542,0.70068,1
ROUGE-3,144,LARGESUMM.TXT,0.83333,0.35211,0.49505,1
ROUGE-3,189,LARGESUMM.TXT,0.56383,0.41406,0.47748,1
ROUGE-3,145,LARGESUMM.TXT,0.47500,0.33929,0.39583,1
ROUGE-3,146,LARGESUMM.TXT,0.48634,0.47849,0.48238,1
ROUGE-3,147,LARGESUMM.TXT,0.67544,0.57895,0.62348,1
ROUGE-3,148,LARGESUMM.TXT,0.86441,0.25628,0.39535,1
ROUGE-3,149,LARGESUMM.TXT,0.74627,0.39526,0.51680,1
