runid,recall,precision,f-score
10_ROUGE-2,0.02666,0.0391,0.0317
11_ROUGE-2,0.01879,0.03938,0.02544
12_ROUGE-2,0,0,0
13_ROUGE-2,0.02272,0.01732,0.01966
14_ROUGE-2,0.01748,0.01972,0.01853
15_ROUGE-2,0.01092,0.01526,0.01273
16_ROUGE-2,0.00371,0.00495,0.00424
17_ROUGE-2,0.0201,0.07863,0.03202
18_ROUGE-2,0,0,0
19_ROUGE-2,0.02775,0.03131,0.02942
1_ROUGE-2,0.02381,0.01704,0.01986
20_ROUGE-2,0.02731,0.04452,0.03385
21_ROUGE-2,0,0,0
22_ROUGE-2,0.01245,0.00974,0.01093
23_ROUGE-2,0.00022,0.00035,0.00027
24_ROUGE-2,0.00109,0.00207,0.00143
25_ROUGE-2,0.0295,0.01945,0.02344
26_ROUGE-2,0.01704,0.07692,0.0279
27_ROUGE-2,0.00022,0.00183,0.00039
28_ROUGE-2,0.03321,0.01804,0.02338
29_ROUGE-2,0.00218,0.00256,0.00235
2_ROUGE-2,0.02469,0.04829,0.03267
30_ROUGE-2,0.02818,0.02506,0.02653
31_ROUGE-2,0.00765,0.00736,0.0075
32_ROUGE-2,0.01726,0.05064,0.02575
33_ROUGE-2,0.00218,0.00305,0.00254
34_ROUGE-2,0.00197,0.0008,0.00114
35_ROUGE-2,0.02032,0.04258,0.02751
36_ROUGE-2,0.026,0.03814,0.03092
37_ROUGE-2,0,0,0
38_ROUGE-2,0.0319,0.02636,0.02887
39_ROUGE-2,0.0142,0.01029,0.01193
3_ROUGE-2,0.00787,0.00796,0.00791
40_ROUGE-2,0.02578,0.03879,0.03097
41_ROUGE-2,0.00022,0.00028,0.00025
42_ROUGE-2,0.02622,0.02797,0.02707
43_ROUGE-2,0.01857,0.12108,0.0322
44_ROUGE-2,0.00218,0.00321,0.0026
45_ROUGE-2,0.00044,0.00107,0.00062
46_ROUGE-2,0.01333,0.00954,0.01112
47_ROUGE-2,0.00131,0.01282,0.00238
48_ROUGE-2,0.0024,0.00522,0.00329
49_ROUGE-2,0.0236,0.05128,0.03232
4_ROUGE-2,0.02207,0.02815,0.02474
50_ROUGE-2,0.00175,0.00244,0.00204
51_ROUGE-2,0.00218,0.00146,0.00175
52_ROUGE-2,0.00022,0.00024,0.00023
53_ROUGE-2,0.02425,0.02587,0.02503
54_ROUGE-2,0.01748,0.06033,0.02711
55_ROUGE-2,0.02797,0.02525,0.02654
56_ROUGE-2,0.0225,0.04891,0.03082
57_ROUGE-2,0.00066,0.00042,0.00051
58_ROUGE-2,0.00109,0.01282,0.00201
59_ROUGE-2,0.02797,0.02781,0.02789
5_ROUGE-2,0.02316,0.02192,0.02252
60_ROUGE-2,0.01049,0.00855,0.00942
61_ROUGE-2,0.00262,0.01282,0.00435
62_ROUGE-2,0,0,0
63_ROUGE-2,0.02229,0.03041,0.02572
64_ROUGE-2,0.00546,0.00583,0.00564
65_ROUGE-2,0,0,0
66_ROUGE-2,0.0024,0.00504,0.00325
67_ROUGE-2,0.00022,0.00032,0.00026
68_ROUGE-2,0.02163,0.05518,0.03108
69_ROUGE-2,0.00328,0.01012,0.00495
6_ROUGE-2,0.01748,0.02279,0.01978
70_ROUGE-2,0.00524,0.01465,0.00772
71_ROUGE-2,0.00306,0.00485,0.00375
72_ROUGE-2,0,0,0
73_ROUGE-2,0.02862,0.02301,0.02551
74_ROUGE-2,0.02818,0.02042,0.02368
75_ROUGE-2,0.02709,0.04297,0.03323
76_ROUGE-2,0.00197,0.0033,0.00247
77_ROUGE-2,0.00044,0.00061,0.00051
78_ROUGE-2,0.02054,0.03443,0.02573
7_ROUGE-2,0.0319,0.03227,0.03208
8_ROUGE-2,0.0083,0.00381,0.00522
9_ROUGE-2,0.02687,0.01609,0.02013
