runid,recall,precision,f-score
10_ROUGE-L,0.06059,0.08818,0.07183
11_ROUGE-L,0.04577,0.09416,0.0616
12_ROUGE-L,0.01096,0.04359,0.01752
13_ROUGE-L,0.06682,0.05112,0.05793
14_ROUGE-L,0.05307,0.05975,0.05621
15_ROUGE-L,0.05071,0.07036,0.05894
16_ROUGE-L,0.01719,0.02279,0.0196
17_ROUGE-L,0.04448,0.16587,0.07015
18_ROUGE-L,0.0174,0.0236,0.02003
19_ROUGE-L,0.06231,0.07015,0.066
1_ROUGE-L,0.06919,0.04974,0.05787
20_ROUGE-L,0.06919,0.11157,0.08541
21_ROUGE-L,0,0,0
22_ROUGE-L,0.03782,0.02969,0.03327
23_ROUGE-L,0.02342,0.03677,0.02861
24_ROUGE-L,0.01805,0.03365,0.0235
25_ROUGE-L,0.07391,0.049,0.05893
26_ROUGE-L,0.04061,0.17308,0.06578
27_ROUGE-L,0.00193,0.01442,0.0034
28_ROUGE-L,0.078,0.0427,0.05519
29_ROUGE-L,0.04512,0.05279,0.04865
2_ROUGE-L,0.05286,0.10174,0.06957
30_ROUGE-L,0.07177,0.06391,0.06761
31_ROUGE-L,0.04362,0.04198,0.04278
32_ROUGE-L,0.04018,0.11416,0.05944
33_ROUGE-L,0.04749,0.06589,0.0552
34_ROUGE-L,0.03932,0.01618,0.02293
35_ROUGE-L,0.04319,0.08886,0.05813
36_ROUGE-L,0.0563,0.08193,0.06674
37_ROUGE-L,0.00193,0.05769,0.00374
38_ROUGE-L,0.07671,0.06357,0.06952
39_ROUGE-L,0.05952,0.04331,0.05014
3_ROUGE-L,0.03782,0.03824,0.03803
40_ROUGE-L,0.05716,0.08526,0.06844
41_ROUGE-L,0.01762,0.02285,0.0199
42_ROUGE-L,0.07048,0.07509,0.07271
43_ROUGE-L,0.03373,0.20128,0.05778
44_ROUGE-L,0.0419,0.06098,0.04967
45_ROUGE-L,0.01934,0.04615,0.02726
46_ROUGE-L,0.07456,0.0536,0.06237
47_ROUGE-L,0.01225,0.1044,0.02193
48_ROUGE-L,0.01139,0.02427,0.0155
49_ROUGE-L,0.05887,0.12546,0.08014
4_ROUGE-L,0.05092,0.06465,0.05697
50_ROUGE-L,0.03159,0.04383,0.03672
51_ROUGE-L,0.06747,0.04523,0.05416
52_ROUGE-L,0.05436,0.06007,0.05707
53_ROUGE-L,0.0535,0.05701,0.0552
54_ROUGE-L,0.03975,0.13177,0.06108
55_ROUGE-L,0.07757,0.07012,0.07366
56_ROUGE-L,0.04512,0.09615,0.06142
57_ROUGE-L,0.02621,0.017,0.02062
58_ROUGE-L,0.01375,0.13675,0.02499
59_ROUGE-L,0.07391,0.0735,0.0737
5_ROUGE-L,0.06511,0.06166,0.06334
60_ROUGE-L,0.05307,0.04338,0.04774
61_ROUGE-L,0.00924,0.04241,0.01517
62_ROUGE-L,0.01311,0.13034,0.02382
63_ROUGE-L,0.05952,0.08071,0.06851
64_ROUGE-L,0.06425,0.06845,0.06628
65_ROUGE-L,0.00752,0.02244,0.01126
66_ROUGE-L,0.01526,0.03139,0.02054
67_ROUGE-L,0.02944,0.04284,0.0349
68_ROUGE-L,0.05157,0.12821,0.07355
69_ROUGE-L,0.02385,0.07115,0.03572
6_ROUGE-L,0.04684,0.06076,0.0529
70_ROUGE-L,0.01826,0.04953,0.02668
71_ROUGE-L,0.02321,0.03644,0.02836
72_ROUGE-L,0.00408,0.01522,0.00643
73_ROUGE-L,0.07349,0.05925,0.06561
74_ROUGE-L,0.07714,0.05613,0.06498
75_ROUGE-L,0.05092,0.07996,0.06222
76_ROUGE-L,0.03073,0.05093,0.03833
77_ROUGE-L,0.04491,0.06231,0.0522
78_ROUGE-L,0.05049,0.08369,0.06298
7_ROUGE-L,0.06876,0.06953,0.06914
8_ROUGE-L,0.05221,0.02415,0.03302
9_ROUGE-L,0.09089,0.05478,0.06836
