runid,recall,precision,f-score
10_ROUGE-SU*,0.00762,0.0185,0.01079
11_ROUGE-SU*,0.00304,0.01462,0.00503
12_ROUGE-SU*,0.00044,0.00776,0.00083
13_ROUGE-SU*,0.00855,0.0058,0.00691
14_ROUGE-SU*,0.00423,0.00619,0.00503
15_ROUGE-SU*,0.00873,0.01929,0.01202
16_ROUGE-SU*,0.0015,0.00303,0.00201
17_ROUGE-SU*,0.00315,0.04872,0.00592
18_ROUGE-SU*,0.00087,0.00184,0.00118
19_ROUGE-SU*,0.00902,0.01318,0.01071
1_ROUGE-SU*,0.01293,0.00775,0.00969
20_ROUGE-SU*,0.00998,0.02971,0.01494
21_ROUGE-SU*,0,0,0
22_ROUGE-SU*,0.01119,0.00799,0.00932
23_ROUGE-SU*,0.00109,0.00308,0.00161
24_ROUGE-SU*,0.00082,0.00324,0.00131
25_ROUGE-SU*,0.01326,0.00676,0.00895
26_ROUGE-SU*,0.00266,0.05338,0.00507
27_ROUGE-SU*,6e-05,0.00366,0.00012
28_ROUGE-SU*,0.01966,0.00685,0.01016
29_ROUGE-SU*,0.0029,0.00457,0.00355
2_ROUGE-SU*,0.00666,0.02813,0.01077
30_ROUGE-SU*,0.01064,0.00976,0.01018
31_ROUGE-SU*,0.00624,0.00668,0.00645
32_ROUGE-SU*,0.00252,0.02285,0.00454
33_ROUGE-SU*,0.0036,0.00795,0.00496
34_ROUGE-SU*,0.00298,0.00059,0.00098
35_ROUGE-SU*,0.00368,0.01769,0.00609
36_ROUGE-SU*,0.00848,0.02059,0.01201
37_ROUGE-SU*,0,0,0
38_ROUGE-SU*,0.01751,0.01392,0.01551
39_ROUGE-SU*,0.01278,0.00785,0.00973
3_ROUGE-SU*,0.00489,0.00578,0.0053
40_ROUGE-SU*,0.00886,0.0226,0.01273
41_ROUGE-SU*,0.0009,0.00173,0.00118
42_ROUGE-SU*,0.01064,0.01393,0.01206
43_ROUGE-SU*,0.00204,0.07906,0.00398
44_ROUGE-SU*,0.00269,0.00653,0.00381
45_ROUGE-SU*,0.00085,0.00546,0.00147
46_ROUGE-SU*,0.0137,0.00821,0.01027
47_ROUGE-SU*,0.00018,0.01425,0.00036
48_ROUGE-SU*,0.0009,0.00462,0.00151
49_ROUGE-SU*,0.00647,0.0334,0.01084
4_ROUGE-SU*,0.00482,0.00893,0.00626
50_ROUGE-SU*,0.00203,0.00449,0.0028
51_ROUGE-SU*,0.00643,0.00335,0.00441
52_ROUGE-SU*,0.00431,0.00607,0.00504
53_ROUGE-SU*,0.00655,0.00858,0.00743
54_ROUGE-SU*,0.00259,0.03183,0.00479
55_ROUGE-SU*,0.01448,0.01368,0.01407
56_ROUGE-SU*,0.00483,0.02491,0.00809
57_ROUGE-SU*,0.00147,0.00072,0.00097
58_ROUGE-SU*,0.0002,0.02115,0.0004
59_ROUGE-SU*,0.0128,0.01461,0.01365
5_ROUGE-SU*,0.00713,0.00739,0.00726
60_ROUGE-SU*,0.00822,0.00636,0.00717
61_ROUGE-SU*,0.0008,0.01852,0.00153
62_ROUGE-SU*,0.00012,0.01282,0.00024
63_ROUGE-SU*,0.00584,0.01233,0.00793
64_ROUGE-SU*,0.00591,0.00774,0.0067
65_ROUGE-SU*,0.00028,0.00282,0.00051
66_ROUGE-SU*,0.00106,0.00511,0.00176
67_ROUGE-SU*,0.00156,0.0038,0.00221
68_ROUGE-SU*,0.00519,0.03627,0.00908
69_ROUGE-SU*,0.00175,0.01748,0.00318
6_ROUGE-SU*,0.00338,0.00654,0.00446
70_ROUGE-SU*,0.00208,0.01725,0.00371
71_ROUGE-SU*,0.00232,0.00655,0.00343
72_ROUGE-SU*,0.00015,0.00237,0.00028
73_ROUGE-SU*,0.01284,0.00967,0.01103
74_ROUGE-SU*,0.01314,0.00807,0.01
75_ROUGE-SU*,0.00759,0.02143,0.01121
76_ROUGE-SU*,0.00154,0.00484,0.00234
77_ROUGE-SU*,0.00302,0.00667,0.00416
78_ROUGE-SU*,0.00512,0.0161,0.00777
7_ROUGE-SU*,0.01556,0.01838,0.01685
8_ROUGE-SU*,0.00489,0.00122,0.00195
9_ROUGE-SU*,0.01441,0.00608,0.00855
