ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-2,190,SMALLSUMM.TXT,0.06122,0.03191,0.04196,1
ROUGE-2,191,SMALLSUMM.TXT,0.06796,1.00000,0.12727,1
ROUGE-2,192,SMALLSUMM.TXT,0.53191,0.78125,0.63291,1
ROUGE-2,193,SMALLSUMM.TXT,1.00000,0.56962,0.72581,1
ROUGE-2,150,SMALLSUMM.TXT,0.66667,0.50000,0.57143,1
ROUGE-2,194,SMALLSUMM.TXT,0.14773,1.00000,0.25743,1
ROUGE-2,195,SMALLSUMM.TXT,0.00000,0.00000,0.00000,1
ROUGE-2,152,SMALLSUMM.TXT,0.02273,0.04545,0.03030,1
ROUGE-2,196,SMALLSUMM.TXT,0.25490,0.27660,0.26531,1
ROUGE-2,197,SMALLSUMM.TXT,0.36957,0.26562,0.30909,1
ROUGE-2,153,SMALLSUMM.TXT,0.01190,0.10000,0.02128,1
ROUGE-2,154,SMALLSUMM.TXT,1.00000,0.58929,0.74157,1
ROUGE-2,198,SMALLSUMM.TXT,0.00000,0.00000,0.00000,1
ROUGE-2,155,SMALLSUMM.TXT,0.17647,0.05455,0.08333,1
ROUGE-2,199,SMALLSUMM.TXT,0.29730,0.37931,0.33333,1
ROUGE-2,157,SMALLSUMM.TXT,0.66102,0.51316,0.57778,1
ROUGE-2,159,SMALLSUMM.TXT,0.40659,0.52857,0.45963,1
ROUGE-2,160,SMALLSUMM.TXT,0.03448,0.04545,0.03922,1
ROUGE-2,161,SMALLSUMM.TXT,0.10145,0.12963,0.11382,1
ROUGE-2,162,SMALLSUMM.TXT,0.10714,0.05769,0.07500,1
ROUGE-2,163,SMALLSUMM.TXT,0.54054,0.60606,0.57143,1
ROUGE-2,164,SMALLSUMM.TXT,0.62687,1.00000,0.77064,1
ROUGE-2,121,SMALLSUMM.TXT,0.46053,0.37234,0.41176,1
ROUGE-2,122,SMALLSUMM.TXT,0.28448,1.00000,0.44295,1
ROUGE-2,166,SMALLSUMM.TXT,0.00000,0.00000,0.00000,1
ROUGE-2,200,SMALLSUMM.TXT,0.00000,0.00000,0.00000,1
ROUGE-2,201,SMALLSUMM.TXT,0.52830,1.00000,0.69136,1
ROUGE-2,168,SMALLSUMM.TXT,0.82051,0.84211,0.83117,1
ROUGE-2,169,SMALLSUMM.TXT,1.00000,0.69318,0.81879,1
ROUGE-2,202,SMALLSUMM.TXT,0.30357,0.73913,0.43038,1
ROUGE-2,125,SMALLSUMM.TXT,0.45000,0.52174,0.48322,1
ROUGE-2,126,SMALLSUMM.TXT,0.21569,0.45833,0.29333,1
ROUGE-2,203,SMALLSUMM.TXT,0.31884,1.00000,0.48352,1
ROUGE-2,204,SMALLSUMM.TXT,0.24675,0.35849,0.29231,1
ROUGE-2,127,SMALLSUMM.TXT,0.71429,0.35714,0.47619,1
ROUGE-2,205,SMALLSUMM.TXT,0.01389,0.05882,0.02247,1
ROUGE-2,129,SMALLSUMM.TXT,0.03125,0.02041,0.02469,1
ROUGE-2,206,SMALLSUMM.TXT,0.62162,0.56790,0.59355,1
ROUGE-2,207,SMALLSUMM.TXT,0.67164,0.52941,0.59211,1
ROUGE-2,208,SMALLSUMM.TXT,0.44330,1.00000,0.61429,1
